file,line,match,context
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","24","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","36","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","95","emit","emit processingError(QString::fromStdString(e.what()));"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","109","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","133","emit","emit processingError(QString::fromStdString(e.what()));"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.h","77","std::mutex","mutable std::mutex m_queueMutex;"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","70","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","129","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","136","emit","emit playbackError(""""Playlist is empty"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","157","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","168","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","175","emit","emit playbackError(""""Playlist is empty"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","192","emit","emit playbackError(""""Starting song not found in playlist"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","207","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","219","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","239","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","257","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","264","emit","emit currentSongChanged(playlist::SongInfo(), -1);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","284","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","311","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","317","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","345","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","359","emit","emit playModeChanged(mode);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","364","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","370","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","389","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","395","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","401","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","407","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","417","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","427","emit","// Only update and emit if changed to avoid excessive signals"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","430","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","433","emit","// Fallback: emit current cached position"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","434","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","564","std::unique_lock|std::mutex","std::unique_lock<std::mutex> comMutex(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","582","std::unique_lock|std::mutex","std::unique_lock<std::mutex> comMutex(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","631","std::unique_lock|std::mutex","std::unique_lock<std::mutex> comMutex(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.h","132","std::mutex","mutable std::mutex m_componentMutex;"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.h","148","std::mutex","mutable std::mutex m_stateMutex;"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","29","emit","emit playbackStateChanged(m_currentState);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","99","emit","emit playbackStateChanged(m_currentState);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","136","emit","emit playbackStateChanged(m_currentState);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","137","emit","emit playbackCompleted();"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","145","emit","emit playbackError(""""Play error"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","163","emit","emit playbackError(""""Input stream read error"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","185","emit","emit playbackError(""""Decoding error"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","200","emit","emit playbackError(""""Frame transmission error"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","267","emit","emit songLoadError(song, error);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","275","emit","emit songLoadError(song, error);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","284","emit","emit playbackError(""""Failed to start decoder"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","292","emit","emit playbackError(""""Decoder did not provide a valid audio format"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","301","emit","emit playbackError(""""Failed to initialize WASAPI audio player"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","329","emit","emit playbackStateChanged(m_currentState);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","330","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","374","emit","emit playbackStateChanged(m_currentState);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller_callback.cpp","375","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","194","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(this->audioFormatMutex_);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","209","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(this->ffmpegMutex_);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","232","std::unique_lock","std::unique_lock lock(audioCacheMutex);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","262","emit","emit readCompleted();"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","272","emit","emit readError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","295","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","308","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","323","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","330","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","340","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","349","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","358","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","366","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","387","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","408","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","418","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(ffmpegMutex_);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","435","emit","emit decodingFinished();"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","453","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","474","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","504","emit","emit decodingError(reason);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.cpp","603","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(decoder->audioCacheMutex);"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.h","107","std::mutex","mutable std::mutex ffmpegMutex_;"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.h","116","std::mutex","mutable std::mutex audioFormatMutex_;"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.h","129","std::mutex","mutable std::mutex audioCacheMutex;"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_decoder.h","145","std::mutex","mutable std::mutex decodeStateMutex;"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_log.cpp","10","std::mutex","std::mutex g_ffmpeg_log_mutex;"
"D:\Project\BilibiliPlayer\src\audio\ffmpeg_log.cpp","15","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lk(g_ffmpeg_log_mutex);"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","370","emit","emit playlistDirectoryChanged(sanitizedPath);"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","446","emit","emit networkSettingsChanged();"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","454","emit","emit networkSettingsChanged();"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","482","emit","emit themeChanged(theme);"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","494","emit","emit languageChanged(language);"
"D:\Project\BilibiliPlayer\src\config\config_manager.cpp","504","emit","emit accentColorChanged(color);"
"D:\Project\BilibiliPlayer\src\event\event_bus.hpp","20","std::mutex","using std::mutex;"
"D:\Project\BilibiliPlayer\src\event\event_bus.hpp","21","std::lock_guard","using std::lock_guard;"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","63","emit","emit managersInitialized();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","86","emit","emit phaseInitialized(1);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","87","emit","emit configLoaded();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","98","emit","emit phaseInitialized(2);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","99","emit","emit networkReady();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","113","emit","emit phaseInitialized(3);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","114","emit","emit dataManagersReady();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","235","emit","emit shutdownStarted();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","301","emit","emit shutdownPhaseCompleted(3);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","310","emit","emit shutdownPhaseCompleted(2);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","319","emit","emit shutdownPhaseCompleted(1);"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","325","emit","emit shutdownCompleted();"
"D:\Project\BilibiliPlayer\src\manager\application_context.cpp","338","emit|emit","emit shutdownCompleted(); // Still emit completion even on error"
"D:\Project\BilibiliPlayer\src\network\platform\bili_network_interface.h","137","std::mutex","mutable std::mutex m_clientMutex_;"
"D:\Project\BilibiliPlayer\src\network\platform\bili_network_interface.h","162","std::mutex","mutable std::mutex m_wbiMutex_;"
"D:\Project\BilibiliPlayer\src\network\platform\bili_network_interface.h","166","std::mutex","mutable std::mutex m_configureMutex_;"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","38","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","54","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","118","emit","emit searchFailed(keyword, """"Search keyword is empty"""");"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","139","emit","emit self->searchProgress(keyword, biliResults);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","145","emit","emit self->searchFailed(keyword, QString(""""Bilibili search failed: %1"""").arg(e.what()));"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","219","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","232","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","278","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","283","emit","emit self->downloadFailed(url, filepath, """"Download failed"""");"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","300","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","305","emit","emit self->downloadFailed(url, filepath, """"Failed to finalize download file move"""");"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","315","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","320","emit","emit self->downloadCompleted(url, filepath);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","328","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","333","emit","emit self->downloadFailed(url, filepath, e.what());"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","342","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","369","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","383","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","410","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","423","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","433","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(self->m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","493","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(self->m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","503","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","510","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(self->m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","528","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(self->m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","539","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(m_downloadMapMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","552","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lg(m_bgMutex);"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","655","emit","// Exception handling: convert and emit error signal"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","657","emit","emit self->searchFailed(keyword, QString(""""Search error: %1"""").arg(e.what()));"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","663","emit","emit self->searchFailed(keyword, """"Unknown search error occurred"""");"
"D:\Project\BilibiliPlayer\src\network\network_manager.cpp","671","emit","emit self->searchCompleted(keyword);"
"D:\Project\BilibiliPlayer\src\network\network_manager.h","76","std::mutex","mutable std::mutex m_bgMutex;"
"D:\Project\BilibiliPlayer\src\network\network_manager.h","96","std::mutex","mutable std::mutex m_downloadMapMutex;"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","90","emit","emit categoriesLoaded(m_categories.size(), totalPlaylists);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","96","emit","emit categoriesLoaded(0, 0);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","140","emit","emit categoryAdded(category);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","178","emit","emit categoryRemoved(categoryId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","204","emit","emit categoryUpdated(category);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","270","emit","emit playlistAdded(playlist, targetCategoryId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","314","emit","emit playlistRemoved(playlistId, foundCategoryId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","338","emit","emit playlistUpdated(playlist, categoryId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","411","Emit","// Emit signals"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","412","emit","emit songAdded(song, playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","413","emit","emit playlistSongsChanged(playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","446","Emit","// Emit signals"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","447","emit","emit songRemoved(song, playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","448","emit","emit playlistSongsChanged(playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","488","Emit","// Emit signals"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","489","emit","emit songUpdated(song, playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","490","emit","emit playlistSongsChanged(playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","582","emit","emit currentPlaylistChanged(playlistId);"
"D:\Project\BilibiliPlayer\src\playlist\playlist_manager.cpp","871","emit","emit playlistAdded(favoritePlaylist, categoryUuid);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.cpp","11","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.cpp","19","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.cpp","26","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.cpp","31","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.cpp","54","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\stream\realtime_pipe.hpp","65","std::mutex","mutable std::mutex mutex_;"
"D:\Project\BilibiliPlayer\src\ui\navigator\navigator.cpp","29","emit","emit navigationStateChanged(currentNavigationState());"
"D:\Project\BilibiliPlayer\src\ui\navigator\navigator.cpp","44","emit","emit navigationStateChanged(currentNavigationState());"
"D:\Project\BilibiliPlayer\src\ui\navigator\navigator.cpp","59","Emit","// Emit signals to update UI"
"D:\Project\BilibiliPlayer\src\ui\navigator\navigator.cpp","60","emit","emit beforePageChange(oldPage);"
"D:\Project\BilibiliPlayer\src\ui\navigator\navigator.cpp","61","emit","emit afterPageChange(m_currentPage);"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","178","emit","emit playlistModified();"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","203","emit","emit playlistModified();"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","225","emit","emit playlistModified();"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","339","emit","emit songDoubleClicked(song);"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","353","emit","emit songsSelected(selectedSongs);"
"D:\Project\BilibiliPlayer\src\ui\page\search_page.cpp","220","Emit","// Emit search signal for any listeners"
"D:\Project\BilibiliPlayer\src\ui\page\search_page.cpp","221","emit","emit searchRequested(keyword, m_currentScope);"
"D:\Project\BilibiliPlayer\src\ui\page\settings_page.cpp","442","Emit","// Emit signal to notify other components"
"D:\Project\BilibiliPlayer\src\ui\page\settings_page.cpp","444","emit","emit m_configManager->languageChanged(languageCode);"
"D:\Project\BilibiliPlayer\src\ui\theme\theme_manager.cpp","164","emit","emit themeChanged(themeName);"
"D:\Project\BilibiliPlayer\src\ui\theme\theme_manager.cpp","218","emit","emit themeChanged(theme.name);"
"D:\Project\BilibiliPlayer\src\ui\theme\theme_manager.cpp","286","Emit","// Emit signal to notify subscribers (MainWindow or other UI components) to apply the theme"
"D:\Project\BilibiliPlayer\src\ui\theme\theme_manager.cpp","287","emit","emit themeApplied(m_currentTheme);"
"D:\Project\BilibiliPlayer\src\ui\custom_title_bar.cpp","60","emit","emit maximizeClicked();"
"D:\Project\BilibiliPlayer\src\ui\custom_title_bar.cpp","67","emit","emit minimizeClicked();"
"D:\Project\BilibiliPlayer\src\ui\custom_title_bar.cpp","72","emit","emit maximizeClicked();"
"D:\Project\BilibiliPlayer\src\ui\custom_title_bar.cpp","77","emit","emit closeClicked();"
"D:\Project\BilibiliPlayer\src\ui\custom_title_bar.cpp","84","emit","emit searchRequested(searchText);"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","319","emit","emit categoryClicked(itemText);"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","336","emit","emit menuItemSelected(PlaylistPage::PLAYLIST_PAGE_TYPE, playlistName, args);"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","341","emit","emit menuItemSelected(itemId, itemText, itemId);"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","615","Emit","// Emit signal for external handling"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","616","emit","emit categoryCreated(categoryInfo.uuid.toString(QUuid::WithoutBraces), name);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","12","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","20","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","26","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","36","std::unique_lock|std::mutex","std::unique_lock<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","43","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","51","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","56","std::lock_guard|std::mutex","std::lock_guard<std::mutex> lock(mutex_);"
"D:\Project\BilibiliPlayer\src\util\safe_queue.hpp","62","std::mutex","mutable std::mutex mutex_;"
